1,1,2023-09-01,2023-09-07,FALSE,FALSE,100
2,2,2023-08-15,2023-08-28,TRUE,TRUE,80
3,3,2023-07-01,2023-07-21,FALSE,FALSE,60
4,4,2023-06-01,2023-06-30,FALSE,TRUE,90
5,5,2023-05-01,2023-05-07,TRUE,FALSE,70
6,6,2023-04-15,2023-04-28,FALSE,FALSE,50
7,7,2023-03-01,2023-03-21,TRUE,TRUE,40
8,8,2023-02-01,2023-02-30,FALSE,FALSE,30
9,9,2023-01-01,2023-01-07,TRUE,FALSE,20
10,10,2022-12-15,2022-12-28,FALSE,TRUE,10
11,11,2022-11-01,2022-11-21,TRUE,FALSE,85
12,12,2022-10-01,2022-10-30,FALSE,FALSE,95
13,13,2022-09-01,2022-09-07,TRUE,TRUE,75
14,14,2022-08-15,2022-08-28,FALSE,FALSE,65
15,15,2022-07-01,2022-07-21,TRUE,FALSE,55
16,16,2022-06-01,2022-06-30,FALSE,TRUE,45
17,17,2022-05-01,2022-05-07,TRUE,FALSE,35
18,18,2022-04-15,2022-04-28,FALSE,FALSE,25
19,19,2022-03-01,2022-03-21,TRUE,TRUE,15
20,20,2022-02-01,2022-02-28,FALSE,FALSE,5
21,21,2022-01-01,2022-01-07,TRUE,FALSE,95
22,22,2021-12-15,2021-12-28,FALSE,TRUE,85
23,23,2021-11-01,2021-11-21,TRUE,FALSE,75
24,24,2021-10-01,2021-10-30,FALSE,FALSE,65
25,25,2021-09-01,2021-09-07,TRUE,TRUE,55
26,26,2021-08-15,2021-08-28,FALSE,FALSE,45
27,27,2021-07-01,2021-07-21,TRUE,FALSE,35
28,28,2021-06-01,2021-06-30,FALSE,TRUE,25
29,29,2021-05-01,2021-05-07,TRUE,FALSE,15
30,30,2021-04-15,2021-04-28,FALSE,FALSE,5
